step,loss_conf_fat,loss_pred_conf,loss_pred_mode,confidence_level,fatigue_level,predicted_confidence,mode_error
339,0.000001,0.000002,0.482165,0.9987,0.7229,0.9972,0
340,0.000001,0.000000,0.817205,0.9996,0.7267,0.9992,1
341,0.000007,0.000006,0.480750,0.9987,0.7222,0.9973,0
342,0.000001,0.000000,0.817885,0.9996,0.7282,0.9992,1
343,0.000004,0.000006,0.479717,0.9987,0.7244,0.9973,0
344,0.000004,0.000002,0.479328,0.9987,0.7261,0.9973,0
345,0.000002,0.000002,0.478786,0.9987,0.7267,0.9973,0
346,0.000001,0.000002,0.478210,0.9987,0.7264,0.9973,0
347,0.000001,0.000002,0.477603,0.9987,0.7258,0.9973,0
348,0.000001,0.000002,0.476963,0.9987,0.7250,0.9973,0
349,0.000001,0.000002,0.476291,0.9987,0.7242,0.9973,0
350,0.000001,0.000002,0.475588,0.9987,0.7233,0.9973,0
351,0.000001,0.000000,0.821543,0.9997,0.7271,0.9992,1
352,0.000007,0.000005,0.474267,0.9987,0.7225,0.9973,0
353,0.000001,0.000000,0.822074,0.9997,0.7287,0.9992,1
354,0.000005,0.000005,0.473329,0.9987,0.7248,0.9974,0
355,0.000004,0.000002,0.472968,0.9987,0.7265,0.9973,0
356,0.000002,0.000002,0.472470,0.9988,0.7271,0.9974,0
357,0.000001,0.000002,0.471932,0.9988,0.7268,0.9974,0
358,0.000001,0.000002,0.471358,0.9988,0.7262,0.9974,0
359,0.000001,0.000002,0.470748,0.9988,0.7254,0.9974,0
360,0.000001,0.000002,0.470106,0.9988,0.7245,0.9974,0
361,0.000001,0.000002,0.469438,0.9988,0.7237,0.9974,0
362,0.000001,0.000000,0.825366,0.9997,0.7274,0.9992,1
363,0.000007,0.000005,0.468177,0.9988,0.7229,0.9974,0
364,0.000001,0.000000,0.825835,0.9997,0.7290,0.9992,1
365,0.000004,0.000005,0.467288,0.9988,0.7253,0.9974,0
366,0.000004,0.000002,0.466963,0.9988,0.7269,0.9974,0
367,0.000002,0.000002,0.466482,0.9988,0.7275,0.9974,0
368,0.000001,0.000002,0.465973,0.9988,0.7272,0.9974,0
369,0.000001,0.000002,0.465430,0.9988,0.7266,0.9975,0
370,0.000001,0.000002,0.464856,0.9988,0.7258,0.9975,0
371,0.000001,0.000002,0.464249,0.9988,0.7249,0.9975,0
372,0.000001,0.000002,0.463612,0.9988,0.7241,0.9975,0
373,0.000001,0.000002,0.462948,0.9988,0.7232,0.9975,0
374,0.000001,0.000000,0.829601,0.9997,0.7268,0.9992,1
375,0.000006,0.000005,0.461696,0.9988,0.7225,0.9975,0
376,0.000001,0.000000,0.830123,0.9997,0.7285,0.9993,1
377,0.000004,0.000005,0.460814,0.9988,0.7249,0.9975,0
378,0.000004,0.000002,0.460503,0.9988,0.7265,0.9975,0
379,0.000002,0.000002,0.460033,0.9988,0.7271,0.9975,0
380,0.000001,0.000002,0.459539,0.9988,0.7268,0.9975,0
381,0.000001,0.000002,0.459013,0.9988,0.7261,0.9975,0
382,0.000001,0.000002,0.458458,0.9988,0.7253,0.9975,0
383,0.000001,0.000002,0.457872,0.9988,0.7244,0.9975,0
384,0.000001,0.000002,0.457258,0.9988,0.7236,0.9975,0
385,0.000001,0.000000,0.833158,0.9997,0.7273,0.9993,1
386,0.000007,0.000004,0.456093,0.9988,0.7228,0.9976,0
387,0.000001,0.000000,0.833530,0.9997,0.7290,0.9993,1
388,0.000004,0.000004,0.455293,0.9988,0.7252,0.9976,0
389,0.000005,0.000002,0.455017,0.9988,0.7270,0.9976,0
390,0.000002,0.000002,0.454621,0.9988,0.7275,0.9976,0
391,0.000001,0.000002,0.454205,0.9988,0.7272,0.9976,0
392,0.000001,0.000002,0.453748,0.9988,0.7265,0.9976,0
393,0.000001,0.000002,0.453242,0.9988,0.7257,0.9976,0
394,0.000001,0.000002,0.452692,0.9988,0.7248,0.9976,0
395,0.000001,0.000002,0.452098,0.9988,0.7239,0.9976,0
396,0.000001,0.000002,0.451463,0.9988,0.7231,0.9976,0
397,0.000001,0.000000,0.837689,0.9997,0.7267,0.9993,1
398,0.000006,0.000004,0.450228,0.9989,0.7224,0.9976,0
399,0.000001,0.000000,0.838435,0.9997,0.7285,0.9993,1
400,0.000004,0.000004,0.449443,0.9989,0.7248,0.9976,0
401,0.000005,0.000002,0.449226,0.9989,0.7266,0.9976,0
402,0.000002,0.000001,0.448785,0.9989,0.7271,0.9976,0
403,0.000001,0.000001,0.448322,0.9989,0.7267,0.9977,0
