step,loss,confidence_level,fatigue_level
455,0.000002,0.9979,0.7894
456,0.000020,0.9936,0.7694
457,0.000002,0.9979,0.7894
458,0.000020,0.9936,0.7695
459,0.000002,0.9979,0.7894
460,0.000020,0.9937,0.7695
461,0.000002,0.9979,0.7895
462,0.000020,0.9937,0.7695
463,0.000002,0.9980,0.7895
464,0.000020,0.9937,0.7695
465,0.000002,0.9980,0.7895
466,0.000020,0.9937,0.7695
467,0.000002,0.9980,0.7895
468,0.000020,0.9937,0.7695
469,0.000002,0.9980,0.7895
470,0.000019,0.9938,0.7695
471,0.000002,0.9980,0.7895
472,0.000019,0.9938,0.7696
473,0.000002,0.9980,0.7895
474,0.000019,0.9938,0.7696
475,0.000002,0.9980,0.7896
476,0.000019,0.9938,0.7696
477,0.000002,0.9980,0.7896
478,0.000019,0.9939,0.7696
479,0.000002,0.9980,0.7896
480,0.000019,0.9939,0.7696
481,0.000002,0.9980,0.7896
482,0.000019,0.9939,0.7696
483,0.000002,0.9980,0.7896
484,0.000018,0.9939,0.7696
485,0.000002,0.9980,0.7896
486,0.000018,0.9939,0.7697
487,0.000002,0.9981,0.7896
488,0.000018,0.9940,0.7697
489,0.000002,0.9981,0.7897
490,0.000018,0.9940,0.7697
491,0.000002,0.9981,0.7897
492,0.000018,0.9940,0.7697
493,0.000191,0.9938,0.7682
494,0.000002,0.9981,0.7883
495,0.000018,0.9940,0.7674
496,0.000003,0.9981,0.7862
497,0.000018,0.9940,0.7657
498,0.000002,0.9981,0.7847
499,0.000018,0.9940,0.7645
500,0.000002,0.9981,0.7837
501,0.000018,0.9940,0.7637
502,0.000002,0.9981,0.7830
503,0.000018,0.9940,0.7632
504,0.000002,0.9981,0.7826
505,0.000018,0.9940,0.7629
506,0.000002,0.9981,0.7823
507,0.000018,0.9941,0.7626
508,0.000002,0.9981,0.7821
509,0.000018,0.9941,0.7625
510,0.000002,0.9981,0.7820
511,0.000017,0.9941,0.7624
512,0.000002,0.9981,0.7820
513,0.000017,0.9941,0.7623
514,0.000002,0.9981,0.7820
515,0.000017,0.9941,0.7623
516,0.000002,0.9981,0.7820
517,0.000017,0.9942,0.7622
518,0.000002,0.9981,0.7820
519,0.000017,0.9942,0.7622
520,0.000002,0.9981,0.7820
521,0.000017,0.9942,0.7622
522,0.000002,0.9982,0.7821
523,0.000017,0.9942,0.7622
524,0.000002,0.9982,0.7821
525,0.000017,0.9942,0.7622
526,0.000002,0.9982,0.7821
527,0.000017,0.9943,0.7622
528,0.000002,0.9982,0.7821
529,0.000016,0.9943,0.7623
530,0.000002,0.9982,0.7822
531,0.000016,0.9943,0.7623
532,0.000002,0.9982,0.7822
533,0.000016,0.9943,0.7623
534,0.000002,0.9982,0.7822
535,0.000016,0.9943,0.7623
536,0.000002,0.9982,0.7822
537,0.000016,0.9943,0.7623
538,0.000002,0.9982,0.7823
539,0.000016,0.9944,0.7623
540,0.000002,0.9982,0.7823
541,0.000016,0.9944,0.7623
542,0.000002,0.9982,0.7823
543,0.000016,0.9944,0.7623
544,0.000002,0.9982,0.7823
545,0.000016,0.9944,0.7623
546,0.000002,0.9982,0.7823
547,0.000015,0.9944,0.7624
548,0.000002,0.9982,0.7823
549,0.000015,0.9945,0.7624
550,0.000002,0.9982,0.7824
551,0.000015,0.9945,0.7624
552,0.000002,0.9983,0.7824
553,0.000015,0.9945,0.7624
554,0.000002,0.9983,0.7824
555,0.000015,0.9945,0.7624
556,0.000002,0.9983,0.7824
557,0.000015,0.9945,0.7624
558,0.000001,0.9983,0.7824
559,0.000015,0.9945,0.7624
560,0.000001,0.9983,0.7824
561,0.000015,0.9946,0.7624
562,0.000001,0.9983,0.7824
563,0.000015,0.9946,0.7624
564,0.000001,0.9983,0.7824
565,0.000015,0.9946,0.7624
566,0.000001,0.9983,0.7824
567,0.000015,0.9946,0.7625
568,0.000001,0.9983,0.7825
569,0.000014,0.9946,0.7625
570,0.000001,0.9983,0.7825
571,0.000014,0.9946,0.7625
572,0.000001,0.9983,0.7825
573,0.000014,0.9947,0.7625
574,0.000001,0.9983,0.7825
575,0.000014,0.9947,0.7625
576,0.000001,0.9983,0.7825
577,0.000014,0.9947,0.7625
578,0.000001,0.9983,0.7825
579,0.000014,0.9947,0.7625
580,0.000001,0.9983,0.7825
581,0.000014,0.9947,0.7625
582,0.000001,0.9983,0.7825
583,0.000014,0.9947,0.7625
584,0.000001,0.9984,0.7825
585,0.000014,0.9948,0.7625
586,0.000001,0.9984,0.7825
587,0.000014,0.9948,0.7626
588,0.000001,0.9984,0.7826
589,0.000014,0.9948,0.7626
590,0.000001,0.9984,0.7826
591,0.000013,0.9948,0.7626
592,0.000001,0.9984,0.7826
593,0.000013,0.9948,0.7626
594,0.000001,0.9984,0.7826
595,0.000013,0.9948,0.7626
596,0.000001,0.9984,0.7826
597,0.000013,0.9949,0.7626
598,0.000001,0.9984,0.7826
599,0.000013,0.9949,0.7626
600,0.000001,0.9984,0.7826
601,0.000013,0.9949,0.7626
602,0.000001,0.9984,0.7826
603,0.000013,0.9949,0.7626
604,0.000001,0.9984,0.7826
605,0.000013,0.9949,0.7626
606,0.000001,0.9984,0.7826
607,0.000013,0.9949,0.7627
608,0.000001,0.9984,0.7826
609,0.000013,0.9949,0.7627
610,0.000001,0.9984,0.7827
611,0.000013,0.9950,0.7627
612,0.000001,0.9984,0.7827
613,0.000013,0.9950,0.7627
614,0.000001,0.9984,0.7827
615,0.000013,0.9950,0.7627
616,0.000001,0.9984,0.7827
